Species	Common name	Classification	Farming Environment	Min. Temp	Max. Temp	Mean Temp	Temp Ref
Oncorhynchus keta	Chum salmon	Fish	Marine	1.1	8.3	3.3	Aquamaps
Oncorhynchus kisutch	Coho salmon	Fish	Marine	1	8.9	3.9	Aquamaps
Oncorhynchus masou	Masu salmon	Fish	Marine	0.3	16.5	3.3	Aquamaps
Oncorhynchus mykiss	Rainbow trout	Fish	Both	1.3	10	5.4	Aquamaps
Oncorhynchus nerka	Sockeye salmon	Fish	Marine	1	8.4	4.2	Aquamaps
Oplegnathus fasciatus	Striped beakfish	Fish	Marine	16.1	25.2	22	Aquamaps
Ostrea chilensis	Chilean flat oyster	Mollusc	Marine			24	SeaLifeBase
Ostrea conchaphila		Mollusc	Marine	24.6	28.7	27.5	Aquamaps
Ostrea edulis	European flat oyster	Mollusc	Both	7.1	11.9	9.7	Aquamaps
Ostrea lurida	Olympia flat oyster	Mollusc		8.5	11.7	9.8	Aquamaps
Pagellus bogaraveo	Blackspot seabream	Fish	Marine	6.9	14.9	11.2	Aquamaps
Pagellus erythrinus	Common Pandora	Fish	Marine	12.2	21	17.2	Aquamaps
Pagrus auratus	Australasian snapper	Fish	Marine	14	25.2	17.4	Aquamaps
Pagrus auratus	Silver seabream	Fish	Both	14	25.2	17.4	Aquamaps
Pagrus auriga	Redbanded seabream	Fish	Marine	14.3	27.5	19	Aquamaps
Pagrus caeruleostictus	Bluespotted seabream	Fish	Marine	13.3	25.2	17.5	Aquamaps
Pagrus major	Japanese seabream	Fish	Both	17	24.4	21.8	Aquamaps
Pagrus pagrus	Red porgy	Fish	Marine	15.8	27.8	24.1	Aquamaps
Palaemon adspersus	Baltic prawn	Crustacean	Brackishwater	8.2	20.1	14.2	Aquamaps
Palaemon serratus	Common prawn	Crustacean	Brackishwater	9.1	18.9	11.3	Aquamaps
Palaemonetes varians	Atlantic ditch shrimp	Crustacean	Brackishwater				
Palmaria palmata	Dulse	Algae	Marine				
Panopea generosa	Pacific geoduck	Mollusc	Marine	8.3	12.8	9.8	Aquamaps
Panulirus argus	Caribbean spiny lobster	Crustacean	Marine	23.7	28	26.7	Aquamaps
Panulirus japonicus	Japanese spiny lobster	Crustacean	Both	19.3	25.3	22	Aquamaps
Panulirus polyphagus	Mud spiny lobster	Crustacean	Both	27	29.1	28.3	Aquamaps
Paphia gallus	Rooster venus	Mollusc	Marine	24.7	29.1	28.1	Aquamaps
Paracentrotus lividus	Purple sea urchin	Echinoderm	Marine	7.4	20.1	11.8	Aquamaps
Paralichthys microps	Small-eyed flounder	Fish					
Paralichthys olivaceus	Bastard halibut	Fish	Both	8.6	25	18.8	Aquamaps
Patinopecten yessoensis	Yesso scallop	Mollusc	Marine			17	SeaLifeBase
Pecten fumatus	Southern Australia scallop	Mollusc	Marine	15	26.4	18.3	Aquamaps
Pecten jacobaeus	Mediterranean scallop	Mollusc	Marine	15.9	21.6	18.7	Aquamaps
Pecten maximus	Great Atlantic scallop	Mollusc	Marine	7.3	12.5	10.3	Aquamaps
Penaeus chinensis	Chinese white shrimp	Crustacean	Brackishwater	10.6	20.7	15.6	Aquamaps
Penaeus esculentus	Brown tiger prawn	Crustacean	Brackishwater	24.6	28.2	26.7	Aquamaps
Penaeus indicus	Indian white prawn	Crustacean	Both	25.5	29.1	28.3	Aquamaps
Penaeus japonicus	Kuruma prawn	Crustacean	Both	21.8	29.1	28	Aquamaps
Penaeus kerathurus	Caramote prawn	Crustacean	Brackishwater	15.2	21.6	19	Aquamaps
Penaeus merguiensis	Banana prawn	Crustacean	Both			28	SeaLifeBase
Penaeus monodon	Giant tiger prawn	Crustacean	Both	24.7	29.1	28.1	Aquamaps
Penaeus penicillatus	Redtail prawn	Crustacean	Brackishwater	20.4	26.1	23.6	Aquamaps
Penaeus plebejus	Eastern king prawn	Crustacean	Brackishwater	17.7	27.2	24.1	Aquamaps
Penaeus schmitti	Southern white shrimp	Crustacean	Brackishwater				
Penaeus semisulcatus	Green tiger prawn	Crustacean	Brackishwater	21.6	29.1	28	Aquamaps
Penaeus setiferus	Northern white shrimp	Crustacean	Brackishwater	15.3	27.3	24.3	Aquamaps
Penaeus stylirostris	Blue shrimp	Crustacean	Both			25	SeaLifeBase
Penaeus vannamei	Whiteleg shrimp	Crustacean	Both	23.3	29	27.6	Aquamaps
Perna canaliculus	New Zealand mussel	Mollusc	Marine				
Perna perna	South American rock mussel	Mollusc	Marine	14.8	27.8	24.9	Aquamaps
Perna viridis	Brown mussel	Mollusc	Both	24.8	29.2	28.5	Aquamaps
Pinctada fucata	Japanese pearl oyster	Mollusc		17.9	28.9	27.1	Aquamaps
Pinctada margaritifera	Pacific pearl-oyster	Mollusc	Marine	23.8	29	27.6	Aquamaps
Pinctada maxima	Silverlip pearl oyster	Mollusc		24.4	29.1	28.2	Aquamaps
Placopecten magellanicus	American sea scallop	Mollusc		1.9	11.7	8.5	Aquamaps
Planiliza haematocheilus	So-iuy mussel	Chordata	Brackishwater				
Platax orbicularis	Orbicular batfish	Fish	Marine	24.9	29.2	28.5	Aquamaps
Platichthys flesus	European flounder	Fish	Marine	7.2	14.2	10.2	Aquamaps
Plectropomus maculatus	Spotted coralgrouper	Fish	Both	26.1	28.8	27.8	Aquamaps
Pleurogrammus azonus	Okhotsk atka mackerel	Fish	Marine	2.7	20.5	12.8	Aquamaps
Pollachius pollachius	Atlantic pollock	Fish	Marine	7	11.9	8.9	Aquamaps
Polydactylus sexfilis	Sixfinger threadfin	Fish	Both	24.1	29	27.9	Aquamaps
Pomatomus saltatrix	Bluefish	Fish	Brackishwater	8.4	27.5	21.1	Aquamaps
Porphyra columbina	Southern laver	Algae	Marine				
Porphyra tenera	Nori	Algae	Marine				
Portunus pelagicus	Blue swimming crab	Crustacean	Both	18.1	29	27.6	Aquamaps
Portunus trituberculatus	Gazami crab	Crustacean	Marine	13.8	29.1	28	Aquamaps
Psammoperca waigiensis	Waigieu seaperch	Fish	Brackishwater	24.7	29.3	28.4	Aquamaps
Pseudocaranx dentex	White trevally	Fish	Marine	15.3	25.9	22.3	Aquamaps
Pteria penguin	Penguin wing oyster	Mollusc	Marine	24.2	29.1	28	Aquamaps
Pyura stolonifera	Red bait	Chordata	Marine	11.9	27.3	21.2	Aquamaps
Rachycentron canadum	Cobia	Fish	Both	8.1	19.8	12.9	Aquamaps
Rhabdosargus sarba	Gildlined seabream	Fish	Marine	21.9	29	28	Aquamaps
Rhopilema esculentum	Flame jellyfish	Cnideria	Brackishwater				
Ruditapes decussatus	Grooved carpet shell	Mollusc	Both	9.4	21.1	18.1	Aquamaps
Ruditapes philippinarum	Japanese carpet shell	Mollusc	Both	15.7	29.1	28.2	Aquamaps
Saccharina latissima	Sugar kelp	Algae	Marine				
Saccostrea commercialis	Sydney cupped oyster	Mollusc	Marine				
Saccostrea cuccullata	Hooded oyster	Mollusc	Marine	23.3	29.3	28.2	Aquamaps
Salmo salar	Atlantic salmon	Fish	Both	1.5	15.3	9.3	Aquamaps
Salmo trutta	Sea trout	Fish	Both	6.5	15.8	10.1	Aquamaps
Salmo trutta fario	Brown trout	Fish					
Salvelinus alpinus	Arctic char	Fish	Both	0.1	9.7	1.9	Aquamaps
Sargassum fusiforme	Hijiki	Algae	Marine				
Saxidomus gigantea	Butter clam	Mollusc	Marine	6.1	11.5	8.9	Aquamaps
Scapharca cornea	Halfcrenated ark	Mollusc		17.6	29.2	28.3	Aquamaps
Schedophilus ovalis	Imperial blackfish	Fish		11.8	18.8	14.8	Aquamaps
Sciaena umbra	Brown meagre	Fish	Brackishwater	12.8	19.6	15.3	Aquamaps
Sciaenops ocellatus	Red drum	Fish	Both	15.5	27.3	24.2	Aquamaps
Scomber japonicus	Chub mackerel	Fish	Marine	9.3	27.7	20.7	Aquamaps
Scophthalmus maximus	Turbot	Fish	Both	5.9	11.9	9.4	Aquamaps
Scophthalmus rhombus	Brill	Fish	Brackishwater	8.4	19.5	11.2	Aquamaps
Scrobicularia plana	Peppery furrow	Mollusc	Marine	8.2	18.8	11.3	Aquamaps
Scylla olivacea	Orange mud crab	Crustacean	Brackishwater				
Scylla paramamosain	Green mud crab	Crustacean	Brackishwater				
Scylla serrata	Indo-Pacific swamp crab	Crustacean	Both	24.5	29.1	28.1	Aquamaps
Sebastes schlegelii	Korean rockfish	Fish	Marine	8	21.3	17	Aquamaps
Sepia officinalis	Common cuttlefish	Mollusc	Marine	8.4	19.7	11.3	Aquamaps
Seriola dumerili	Greater amberjack	Fish	Marine	16.9	29	27.1	Aquamaps
Seriola lalandi	Yellowtail amberjack	Fish	Brackishwater	9	23	14.9	Aquamaps
Seriola quinqueradiata	Japanese amberjack	Fish	Marine				
Seriola rivoliana	Longfin yellowtail	Fish	Marine	22.1	28.6	27.3	Aquamaps
Siganus canaliculatus	White-spotted spinefoot	Fish	Marine	24.7	29.1	28.3	Aquamaps
Siganus fuscescens	Mottled spinefoot	Fish	Marine	22.6	29	27.9	Aquamaps
Siganus javus	Streaked spinefoot	Fish	Marine	25.5	29.1	28.3	Aquamaps
Siganus lineatus	Gold-lined spinefoot	Fish	Marine	24.9	29	28	Aquamaps
Siganus rivulatus	Marbled spinefoot	Fish	Marine	24.7	29.2	27.3	Aquamaps
Siganus sutor	Shoemaker spinefoot	Fish		24.6	28.9	27.5	Aquamaps
Sinonovacula constricta	Chinese razor clam	Mollusc	Marine	20.6	22.8	21.6	Aquamaps
Solea senegalensis	Senegalese sole	Fish	Both	13.6	21.6	18.6	Aquamaps
Solea solea	Common sole	Fish	Both	9	20	11.4	Aquamaps
Sparidentex hasta	Sobaity seabream	Fish	Marine	25.4	27.9	26.8	Aquamaps
Sparus aurata	Gilthead seabream	Fish	Both	12.1	21	17.8	Aquamaps
Spirulina maxima		Algae	Brackishwater				
Strombus gigas	Queen conch	Mollusc	Marine	25.3	28	27	Aquamaps
Symphysanodon berryi	Slope bass	Fish	Marine	13	22.6	17.9	Aquamaps
Synodus marchenae	Lizardfish	Fish					
Takifugu rubripes	Japanese puffer	Fish	Marine	13.6	23	19	Aquamaps
Tapes rhomboides		Mollusc					
Tegillarca granosa	Granular ark	Mollusc	Marine	21.8	29.3	28.4	Aquamaps
Thenus orientalis	Flathead lobster	Crustacean	Marine	25.4	29	28.1	Aquamaps
Thunnus albacares	Yellowfin tuna	Fish	Marine	16.5	28.9	26.7	Aquamaps
Thunnus maccoyii	Southern bluefin tuna	Fish	Marine	2.9	7.5	9	Aquamaps
Thunnus orientalis	Pacific bluefin tuna	Fish	Marine	13.9	28.1	24.3	Aquamaps
Thunnus thynnus	Atlantic bluefin tuna	Fish	Marine	7.5	24.7	12.6	Aquamaps
Trachinotus blochii	Snubnose pompano	Fish	Both	24.8	29.3	28.4	Aquamaps
Trachinotus carolinus	Florida pompano	Fish	Marine	23.3	28	25.6	Aquamaps
Trachinotus ovatus	Pompano	Fish	Marine	9.8	17.3	13.9	Aquamaps
Trachurus japonicus	Japanese jack mackerel	Fish	Marine	1.8	22	13.8	Aquamaps
Tresus nuttallii	Pacific gaper	Mollusc	Marine	8.6	15.3	10.2	Aquamaps
Tridacna crocea	Crocus giant clam	Mollusc	Marine	25.2	29.1	28.3	Aquamaps
Tridacna derasa	Southern giant clam	Mollusc	Marine	24.7	29.3	28.6	Aquamaps
Tridacna gigas	Giant clam	Mollusc	Marine	24.8	29.3	28.6	Aquamaps
Tridacna maxima	Elongate giant clam	Mollusc	Marine	24.8	29.3	28.4	Aquamaps
Tridacna squamosa	Fluted giant clam	Mollusc	Marine	25	29.3	28.4	Aquamaps
Turbo cornutus	Horned turban	Mollusc	Marine	16.6	22.6	20.1	Aquamaps
Turbo setosus	Rough turban	Mollusc	Marine	25.6	29.3	28.6	Aquamaps
Umbrina cirrosa	Shi drum	Fish	Marine	13.3	21	18	Aquamaps
Undaria pinnatifida	Wakame	Algae	Marine				
Valamugil seheli	Bluespot mullet	Fish	Brackishwater	25.2	29.3	28.5	Aquamaps
Venerupis aurea		Mollusc	Marine				
Venerupis corrugata	Corrugated venus	Mollusc	Both	14.5	26.2	18.8	Aquamaps
Venerupis rhomboides		Mollusc	Marine			12	SeaLifeBase
Venus verrucosa	Warty venus	Mollusc	Marine	8.4	20.1	12.2	Aquamaps
							
							
							
							
							
							
							
							
